Depth,Density
188.21,2.46
188.37,2.5
188.52,2.51
188.67,2.49
188.82,2.47
188.98,2.46
189.13,2.43
189.28,2.36
189.43,2.27
189.59,2.2
189.74,2.18
189.89,2.22
190.04,2.29
190.2,2.32
190.35,2.19
190.5,1.92
190.65,1.67
190.8,1.6
190.96,1.6
191.11,1.6
191.26,1.75
191.41,1.98
191.57,2.16
191.72,2.21
191.87,2.22
192.02,2.23
192.18,2.25
192.33,2.25
192.48,2.15
192.63,1.98
192.79,1.8
192.94,1.66
193.09,1.6
193.24,1.6
193.4,1.6
193.55,1.6
193.7,1.6
193.85,1.6
194.01,1.6
194.16,1.6
194.31,1.6
194.46,1.6
194.61,1.79
194.77,2.07
194.92,2.39
195.07,2.56
195.22,2.59
195.38,2.6
195.53,2.62
195.68,2.62
195.83,2.61
195.99,2.59
196.14,2.57
196.29,2.56
196.44,2.55
196.6,2.54
196.75,2.52
196.9,2.5
197.05,2.48
197.21,2.46
197.36,2.45
197.51,2.44
197.66,2.43
197.82,2.43
197.97,2.43
198.12,2.43
198.27,2.43
198.42,2.42
198.58,2.42
198.73,2.41
198.88,2.39
199.03,2.33
199.19,2.23
199.34,2.14
199.49,2.05
199.64,1.95
199.8,1.81
199.95,1.68
200.1,1.6
200.25,1.6
200.41,1.6
200.56,1.62
200.71,1.64
200.86,1.63
201.02,1.63
201.17,1.67
201.32,1.76
201.47,1.91
201.63,2.12
201.78,2.33
201.93,2.47
202.08,2.53
202.23,2.57
202.39,2.58
202.54,2.58
202.69,2.57
202.84,2.56
203,2.54
203.15,2.52
203.3,2.51
203.45,2.5
203.61,2.5
203.76,2.49
203.91,2.49
204.06,2.49
204.22,2.49
204.37,2.49
204.52,2.5
204.67,2.51
204.83,2.53
204.98,2.54
205.13,2.55
205.28,2.55
205.44,2.55
205.59,2.54
205.74,2.53
205.89,2.53
206.04,2.52
206.2,2.53
206.35,2.54
206.5,2.55
206.65,2.57
206.81,2.57
206.96,2.58
207.11,2.57
207.26,2.56
207.42,2.56
207.57,2.55
207.72,2.53
207.87,2.5
208.03,2.47
208.18,2.45
208.33,2.44
208.48,2.44
208.64,2.45
208.79,2.46
208.94,2.48
209.09,2.49
209.25,2.51
209.4,2.53
209.55,2.55
209.7,2.56
209.85,2.55
210.01,2.54
210.16,2.52
210.31,2.5
210.46,2.45
210.62,2.38
210.77,2.31
210.92,2.23
211.07,2.18
211.23,2.17
211.38,2.2
211.53,2.26
211.68,2.35
211.84,2.39
211.99,2.38
212.14,2.35
212.29,2.34
212.45,2.37
212.6,2.43
212.75,2.48
212.9,2.51
213.06,2.5
213.21,2.48
213.36,2.46
213.51,2.46
213.66,2.44
213.82,2.43
213.97,2.41
214.12,2.38
214.27,2.37
214.43,2.36
214.58,2.36
214.73,2.38
214.88,2.41
215.04,2.43
215.19,2.45
215.34,2.46
215.49,2.45
215.65,2.44
215.8,2.43
215.95,2.41
216.1,2.4
216.26,2.38
216.41,2.37
216.56,2.36
216.71,2.35
216.87,2.34
217.02,2.34
217.17,2.35
217.32,2.35
217.47,2.35
217.63,2.34
217.78,2.33
217.93,2.33
218.08,2.33
218.24,2.34
218.39,2.35
218.54,2.35
218.69,2.34
218.85,2.33
219,2.32
219.15,2.32
219.3,2.31
219.46,2.31
219.61,2.31
219.76,2.31
219.91,2.31
220.07,2.32
220.22,2.32
220.37,2.32
220.52,2.32
220.68,2.31
220.83,2.3
220.98,2.3
221.13,2.31
221.28,2.34
221.44,2.36
221.59,2.39
221.74,2.41
221.89,2.43
222.05,2.44
222.2,2.45
222.35,2.46
222.5,2.46
222.66,2.46
222.81,2.47
222.96,2.49
223.11,2.52
223.27,2.55
223.42,2.56
223.57,2.56
223.72,2.54
223.88,2.52
224.03,2.49
224.18,2.47
224.33,2.45
224.49,2.44
224.64,2.42
224.79,2.4
224.94,2.39
225.09,2.37
225.25,2.36
225.4,2.36
225.55,2.37
225.7,2.39
225.86,2.41
226.01,2.43
226.16,2.44
226.31,2.44
226.47,2.43
226.62,2.42
226.77,2.4
226.92,2.39
227.08,2.38
227.23,2.37
227.38,2.37
227.53,2.37
227.69,2.37
227.84,2.37
227.99,2.38
228.14,2.38
228.3,2.38
228.45,2.38
228.6,2.38
228.75,2.38
228.9,2.38
229.06,2.38
229.21,2.38
229.36,2.39
229.51,2.39
229.67,2.4
229.82,2.41
229.97,2.42
230.12,2.43
230.28,2.44
230.43,2.45
230.58,2.47
230.73,2.5
230.89,2.53
231.04,2.56
231.19,2.58
231.34,2.59
231.5,2.59
231.65,2.59
231.8,2.58
231.95,2.58
232.11,2.57
232.26,2.56
232.41,2.56
232.56,2.56
232.71,2.56
232.87,2.56
233.02,2.56
233.17,2.56
233.32,2.56
233.48,2.56
233.63,2.55
233.78,2.47
233.93,2.26
234.09,2.03
234.24,1.88
234.39,1.83
234.54,1.86
234.7,1.93
234.85,1.97
235,1.94
235.15,1.87
235.31,1.82
235.46,1.8
235.61,1.8
235.76,1.85
235.92,1.93
236.07,2.03
236.22,2.16
236.37,2.26
236.52,2.28
236.68,2.23
236.83,2.13
236.98,2.02
237.13,1.94
237.29,1.9
237.44,1.92
237.59,1.98
237.74,2.05
237.9,2.05
238.05,1.93
238.2,1.8
238.35,1.72
238.51,1.74
238.66,1.85
238.81,2.03
238.96,2.19
239.12,2.22
239.27,2.09
239.42,1.91
239.57,1.78
239.73,1.72
239.88,1.75
240.03,1.84
240.18,1.97
240.33,2.11
240.49,2.23
240.64,2.32
240.79,2.4
240.94,2.46
241.1,2.5
241.25,2.53
241.4,2.55
241.55,2.56
241.71,2.58
241.86,2.58
242.01,2.59
242.16,2.59
242.32,2.59
242.47,2.59
242.62,2.59
242.77,2.59
242.93,2.59
243.08,2.59
243.23,2.59
243.38,2.58
243.54,2.58
243.69,2.57
243.84,2.55
243.99,2.53
244.14,2.49
244.3,2.46
244.45,2.43
244.6,2.41
244.75,2.39
244.91,2.38
245.06,2.34
245.21,2.21
245.36,2
245.52,1.8
245.67,1.65
245.82,1.6
245.97,1.6
246.13,1.6
246.28,1.6
246.43,1.6
246.58,1.6
246.74,1.68
246.89,1.84
247.04,1.98
247.19,2.07
247.35,2.17
247.5,2.25
247.65,2.32
247.8,2.37
247.95,2.42
248.11,2.45
248.26,2.47
248.41,2.48
248.56,2.47
248.72,2.46
248.87,2.45
249.02,2.44
249.17,2.46
249.33,2.48
249.48,2.5
249.63,2.52
249.78,2.54
249.94,2.54
250.09,2.54
250.24,2.53
250.39,2.53
250.55,2.54
250.7,2.55
250.85,2.56
251,2.56
251.16,2.57
251.31,2.57
251.46,2.57
251.61,2.57
251.76,2.57
251.92,2.57
252.07,2.56
252.22,2.56
252.37,2.56
252.53,2.55
252.68,2.55
252.83,2.54
252.98,2.53
253.14,2.52
253.29,2.52
253.44,2.51
253.59,2.5
253.75,2.47
253.9,2.44
254.05,2.43
254.2,2.43
254.36,2.45
254.51,2.48
254.66,2.49
254.81,2.5
254.97,2.49
255.12,2.49
255.27,2.5
255.42,2.51
255.57,2.52
255.73,2.52
255.88,2.5
256.03,2.49
256.18,2.48
256.34,2.47
256.49,2.47
256.64,2.48
256.79,2.49
256.95,2.5
257.1,2.51
257.25,2.52
257.4,2.52
257.56,2.51
257.71,2.5
257.86,2.5
258.01,2.5
258.17,2.49
258.32,2.47
258.47,2.42
258.62,2.32
258.78,2.14
258.93,1.93
259.08,1.76
259.23,1.68
259.38,1.7
259.54,1.82
259.69,2.03
259.84,2.29
259.99,2.47
260.15,2.54
260.3,2.57
260.45,2.59
260.6,2.59
260.76,2.6
260.91,2.61
261.06,2.61
261.21,2.6
261.37,2.58
261.52,2.55
261.67,2.52
261.82,2.5
261.98,2.49
262.13,2.49
262.28,2.49
262.43,2.5
262.59,2.52
262.74,2.54
262.89,2.56
263.04,2.57
263.19,2.58
263.35,2.59
263.5,2.58
263.65,2.57
263.8,2.56
263.96,2.56
264.11,2.55
264.26,2.55
264.41,2.55
264.57,2.56
264.72,2.57
264.87,2.58
265.02,2.58
265.18,2.58
265.33,2.57
265.48,2.57
265.63,2.56
265.79,2.56
265.94,2.57
266.09,2.58
266.24,2.59
266.4,2.6
266.55,2.6
266.7,2.59
266.85,2.58
267,2.56
267.16,2.56
267.31,2.55
267.46,2.55
267.61,2.54
267.77,2.54
267.92,2.54
268.07,2.52
268.22,2.5
268.38,2.48
268.53,2.47
268.68,2.48
268.83,2.49
268.99,2.5
269.14,2.5
269.29,2.5
269.44,2.5
269.6,2.5
269.75,2.52
269.9,2.52
270.05,2.52
270.21,2.52
270.36,2.52
270.51,2.53
270.66,2.55
270.81,2.57
270.97,2.59
271.12,2.61
271.27,2.62
271.42,2.63
271.58,2.63
271.73,2.61
271.88,2.6
272.03,2.59
272.19,2.58
272.34,2.58
272.49,2.57
272.64,2.56
272.8,2.55
272.95,2.54
273.1,2.53
273.25,2.51
273.41,2.49
273.56,2.46
273.71,2.44
273.86,2.45
274.02,2.47
274.17,2.49
274.32,2.5
274.47,2.51
274.62,2.51
274.78,2.52
274.93,2.53
275.08,2.54
275.23,2.55
275.39,2.55
275.54,2.54
275.69,2.54
275.84,2.52
276,2.51
276.15,2.49
276.3,2.49
276.45,2.5
276.61,2.52
276.76,2.54
276.91,2.55
277.06,2.56
277.22,2.55
277.37,2.55
277.52,2.55
277.67,2.55
277.83,2.55
277.98,2.55
278.13,2.55
278.28,2.54
278.43,2.54
278.59,2.54
278.74,2.55
278.89,2.55
279.04,2.56
279.2,2.56
279.35,2.55
279.5,2.55
279.65,2.55
279.81,2.55
279.96,2.55
280.11,2.56
280.26,2.58
280.42,2.59
280.57,2.61
280.72,2.62
280.87,2.63
281.03,2.64
281.18,2.64
281.33,2.65
281.48,2.65
281.64,2.64
281.79,2.63
281.94,2.62
282.09,2.62
282.24,2.62
282.4,2.61
282.55,2.6
282.7,2.58
282.85,2.56
283.01,2.54
283.16,2.52
283.31,2.5
283.46,2.48
283.62,2.47
283.77,2.46
283.92,2.46
284.07,2.47
284.23,2.48
284.38,2.49
284.53,2.49
284.68,2.5
284.84,2.51
284.99,2.53
285.14,2.53
285.29,2.53
285.45,2.51
285.6,2.5
285.75,2.5
285.9,2.49
286.05,2.48
286.21,2.46
286.36,2.45
286.51,2.45
286.66,2.46
286.82,2.47
286.97,2.46
287.12,2.45
287.27,2.45
287.43,2.45
287.58,2.45
287.73,2.44
287.88,2.41
288.04,2.38
288.19,2.34
288.34,2.33
288.49,2.34
288.65,2.4
288.8,2.48
288.95,2.56
289.1,2.61
289.26,2.63
289.41,2.62
289.56,2.62
289.71,2.6
289.86,2.59
290.02,2.57
290.17,2.56
290.32,2.56
290.47,2.56
290.63,2.56
290.78,2.57
290.93,2.58
291.08,2.59
291.24,2.59
291.39,2.58
291.54,2.57
291.69,2.55
291.85,2.54
292,2.53
292.15,2.53
292.3,2.53
292.46,2.54
292.61,2.55
292.76,2.56
292.91,2.56
293.07,2.56
293.22,2.54
293.37,2.51
293.52,2.48
293.67,2.47
293.83,2.47
293.98,2.49
294.13,2.51
294.28,2.53
294.44,2.56
294.59,2.58
294.74,2.59
294.89,2.58
295.05,2.58
295.2,2.56
295.35,2.55
295.5,2.55
295.66,2.55
295.81,2.56
295.96,2.57
296.11,2.57
296.27,2.56
296.42,2.54
296.57,2.51
296.72,2.49
296.88,2.49
297.03,2.51
297.18,2.53
297.33,2.56
297.48,2.57
297.64,2.57
297.79,2.56
297.94,2.54
298.09,2.53
298.25,2.53
298.4,2.52
298.55,2.5
298.7,2.47
298.86,2.45
299.01,2.45
299.16,2.46
299.31,2.48
299.47,2.48
299.62,2.47
299.77,2.46
299.92,2.46
300.08,2.47
300.23,2.48
300.38,2.49
300.53,2.5
300.69,2.52
300.84,2.54
300.99,2.54
301.14,2.53
301.29,2.5
301.45,2.45
301.6,2.39
301.75,2.33
301.9,2.31
302.06,2.33
302.21,2.37
302.36,2.43
302.51,2.47
302.67,2.48
302.82,2.47
302.97,2.46
303.12,2.46
303.28,2.47
303.43,2.48
303.58,2.51
303.73,2.53
303.89,2.54
304.04,2.56
304.19,2.57
304.34,2.57
304.5,2.58
304.65,2.58
304.8,2.58
304.95,2.58
305.1,2.59
305.26,2.6
305.41,2.61
305.56,2.61
305.71,2.61
305.87,2.62
306.02,2.62
306.17,2.63
306.32,2.64
306.48,2.64
306.63,2.64
306.78,2.63
306.93,2.62
307.09,2.6
307.24,2.58
307.39,2.57
307.54,2.57
307.7,2.56
307.85,2.55
308,2.54
308.15,2.52
308.31,2.49
308.46,2.47
308.61,2.45
308.76,2.43
308.91,2.41
309.07,2.39
309.22,2.37
309.37,2.34
309.52,2.28
309.68,2.19
309.83,2.12
309.98,2.09
310.13,2.09
310.29,2.13
310.44,2.19
310.59,2.24
310.74,2.3
310.9,2.35
311.05,2.36
311.2,2.31
311.35,2.23
311.51,2.18
311.66,2.15
311.81,2.17
311.96,2.21
312.12,2.28
312.27,2.37
312.42,2.46
312.57,2.52
312.72,2.57
312.88,2.58
313.03,2.57
313.18,2.57
313.33,2.58
313.49,2.58
313.64,2.59
313.79,2.59
313.94,2.57
314.1,2.55
314.25,2.53
314.4,2.5
314.55,2.48
314.71,2.47
314.86,2.47
315.01,2.46
315.16,2.45
315.32,2.43
315.47,2.42
315.62,2.41
315.77,2.42
315.93,2.43
316.08,2.44
316.23,2.43
316.38,2.4
316.53,2.37
316.69,2.34
316.84,2.32
316.99,2.32
317.14,2.32
317.3,2.34
317.45,2.35
317.6,2.35
317.75,2.35
317.91,2.34
318.06,2.33
318.21,2.34
318.36,2.35
318.52,2.37
318.67,2.39
318.82,2.41
318.97,2.41
319.13,2.41
319.28,2.41
319.43,2.41
319.58,2.42
319.74,2.44
319.89,2.45
320.04,2.44
320.19,2.41
320.34,2.38
320.5,2.36
320.65,2.36
320.8,2.36
320.95,2.36
321.11,2.35
321.26,2.34
321.41,2.33
321.56,2.32
321.72,2.32
321.87,2.32
322.02,2.33
322.17,2.34
322.33,2.35
322.48,2.35
322.63,2.35
322.78,2.35
322.94,2.36
323.09,2.38
323.24,2.41
323.39,2.44
323.55,2.44
323.7,2.43
323.85,2.41
324,2.39
324.15,2.39
324.31,2.39
324.46,2.4
324.61,2.41
324.76,2.43
324.92,2.44
325.07,2.44
325.22,2.44
325.37,2.45
325.53,2.46
325.68,2.48
325.83,2.48
325.98,2.48
326.14,2.48
326.29,2.48
326.44,2.5
326.59,2.51
326.75,2.53
326.9,2.54
327.05,2.55
327.2,2.54
327.36,2.54
327.51,2.53
327.66,2.54
327.81,2.55
327.96,2.55
328.12,2.54
328.27,2.51
328.42,2.47
328.57,2.44
328.73,2.39
328.88,2.34
329.03,2.31
329.18,2.29
329.34,2.29
329.49,2.31
329.64,2.35
329.79,2.38
329.95,2.41
330.1,2.42
330.25,2.41
330.4,2.38
330.56,2.34
330.71,2.31
330.86,2.3
331.01,2.32
331.17,2.29
331.32,2.13
331.47,1.89
331.62,1.68
331.77,1.6
331.93,1.6
332.08,1.6
332.23,1.6
332.38,1.6
332.54,1.6
332.69,1.6
332.84,1.6
332.99,1.6
333.15,1.65
333.3,1.74
333.45,1.8
333.6,1.84
333.76,1.88
333.91,1.9
334.06,1.91
334.21,1.91
334.37,1.92
334.52,1.93
334.67,1.93
334.82,1.96
334.98,2
335.13,2.04
335.28,2.09
335.43,2.13
335.58,2.16
335.74,2.18
335.89,2.15
336.04,2.1
336.19,2.05
336.35,2.03
336.5,2.04
336.65,2.13
336.8,2.23
336.96,2.28
337.11,2.24
337.26,2.17
337.41,2.12
337.57,2.13
337.72,2.17
337.87,2.19
338.02,2.19
338.18,2.17
338.33,2.14
338.48,2.12
338.63,2.13
338.79,2.13
338.94,2.16
339.09,2.2
339.24,2.24
339.39,2.27
339.55,2.28
339.7,2.27
339.85,2.23
340,2.19
340.16,2.17
340.31,2.18
340.46,2.21
340.61,2.26
340.77,2.3
340.92,2.3
341.07,2.25
341.22,2.19
341.38,2.15
341.53,2.12
341.68,2.12
341.83,2.12
341.99,2.13
342.14,2.13
342.29,2.09
342.44,2.03
342.6,1.98
342.75,1.99
342.9,2.1
343.05,2.28
343.2,2.44
343.36,2.53
343.51,2.53
343.66,2.45
343.81,2.35
343.97,2.3
344.12,2.31
344.27,2.37
344.42,2.47
344.58,2.54
344.73,2.53
344.88,2.49
345.03,2.47
345.19,2.43
345.34,2.36
345.49,2.24
345.64,2.12
345.8,2.04
345.95,2.04
346.1,2.07
346.25,2.09
346.41,2
346.56,1.83
346.71,1.68
346.86,1.63
347.01,1.65
347.17,1.74
347.32,1.88
347.47,2.01
347.62,2.11
347.78,2.2
347.93,2.27
348.08,2.24
348.23,2.08
348.39,1.94
348.54,1.85
348.69,1.77
348.84,1.71
349,1.67
349.15,1.61
349.3,1.6
349.45,1.6
349.61,1.6
349.76,1.6
349.91,1.6
350.06,1.62
350.22,1.8
350.37,1.98
350.52,2.04
350.67,2.04
350.82,2.06
350.98,2.13
351.13,2.26
351.28,2.41
351.43,2.51
351.59,2.55
351.74,2.56
351.89,2.56
352.04,2.55
352.2,2.54
352.35,2.53
352.5,2.52
352.65,2.52
352.81,2.54
352.96,2.56
353.11,2.58
353.26,2.59
353.42,2.59
353.57,2.58
353.72,2.57
353.87,2.56
354.03,2.54
354.18,2.53
354.33,2.53
354.48,2.53
354.63,2.53
354.79,2.54
354.94,2.55
355.09,2.54
355.24,2.54
355.4,2.53
355.55,2.52
355.7,2.51
355.85,2.51
356.01,2.51
356.16,2.52
356.31,2.53
356.46,2.53
356.62,2.52
356.77,2.51
356.92,2.46
357.07,2.3
357.23,2.07
357.38,1.93
357.53,1.89
